제목,카테고리,카테고리1,지역명,시군구명,개요,위도,경도
엄마손충무김밥,음식점,한식,경상남도,통영시,"KBS ""1박2일"" 욕지도 복불복에 추천된 충무김밥집이다.",34.8433034,128.423215
평창동의 봄,음식점,한식,서울,종로구,"평창동의 명소, 평창동 언덕마을에 유럽풍의 아름다운 음식점 & 카페. 1층에는 커피는 물론 계절빙수, 단팥죽, 호박죽, 허브티를 파는 카페, 2층에는 식당이 있다. 2층 식당에서는 평창동 봄만의 특별한 한정식 코스 요리와 웰빙 삼계탕 등의 음식을  선보이고 있다. 3층은 최대 40명수용의 연회룸이 있고, 갤러리 전시와 건강교실도 운영하고 있다.",37.6105571,126.9705801
음봉가든,음식점,한식,경기도,가평군,"음봉가든 (구, 진짜네집)은 자연산 민물고기만을 고집하는 50년 전통의 진정한 매운탕전문점이다. 주재료로 쓰이고 있는 메기 및 쏘가리, 빠가사리등은 주인이 직접 낚아 올린 물고기로 매우 신선하며 매운탕 역시 얼큰하고 개운하다. 또한 집앞에서 직접 재배하고 키우는 야채와 채소는 매운탕의 국물맛을 더욱 맛나게 해준다.",37.7368291,127.5049132
대자골토속음식,음식점,한식,경기도,고양시,경기 북부지방에선 국수나 수제비를 넣어 국물을 넉넉하게 만든 음식을 '털레기'라 하는데 이곳은 '미꾸라지털레기'를 주메뉴로 하는 30여년 내력의 경기 북부지방 대표향토음식점이다. 주인이 직접 야채와 채소를 재배하는데 고춧가루까지도 직접 재배한 것을 사용한다고하니 그 사명감이 대단하다 할 수 있겠다. 통미꾸라지매운탕의 옛맛을 찾는 사람이라면 꼭 한번은 들려봐야 전통 맛집이다.,37.726228,126.8051316
장수촌,음식점,한식,경기도,광명시,"부드러운 닭고기 육질에 구수한 누룽지가 함께 하는 '누룽지삼계탕'. 거기다 잘 익은 김치 한 점 더 한다면 그 어떤 맛도 부러울 것이 없다. 식사메뉴인 '누룽지삼계탕'과 '쟁반막국수', 안주메뉴인 골뱅이무침 메뉴가 전부인 '장수촌'은 경기도 광명의 대표맛집으로 토종닭 선별부터 양념 재료 하나 하나까지 일일이 주인이 직접 선별하는 그 정성과 끈기가 맛의 비결이라 할 수 있겠다.",37.4525189,126.8593232
청기와뼈다귀해장국,음식점,한식,경기도,부천시,"부천 사람이라면 모르는 이 없을 정도로 유명한 집이다. 돼지고기와 국물에서 냄새가 안나 여성이나 어린이들 특히 어르신들 보양식으로도 입소문이 난 곳인데, 부재료 보다는 뼈다귀로 양을 채우는 그 푸짐함 또한 그 소문이 자자하다. 양질의 돼지 뼈에 사골 국물과 우거지를 넣어 맛을 낸 뼈다귀 해장국. 그 맛을 제대로 만날 수 있는 대표적인 음식점이다. ",37.4977342,126.7841348
일번지,음식점,한식,경기도,성남시,닭요리의 으뜸이라 해도 과언이 아닌 '남한산성 닭죽촌민속마을' 에서 남한산성 등산후 가장 많이 찾는 집 중에 한 집이다. 특히 이집은 닭백숙 이외에 '닭도가니'로도 유명한데 이집의 '도가니'는 소의 도가니를 뜻 하는 것이 아니라 장독대의 '독'에서 유래된 말로 '독'에 밥과 닭과 여러보약재를 넣어 만드는 것으로 그 맛과 영양면에서 닭요리 중에 최고라 할 수 있겠다.,37.411317,127.1357989
장금이,음식점,한식,경기도,시흥시,"경기도 시흥의 지역특산물 중의 하나가 바로 '연'이다. 연은 수련과에 속하는 다년생 수생식물로 뿌리채소로는 드물게 다량의 비타민과 무기질을 함유하고 있어 최근 건강식 식품원료로 각광받고 있으나 그 효능에 비해 다양한 조리방법이 개발되어 있지 않아 흔히 '연'하면 '연근' 반찬 이외엔 생각나는 것이 없는데, 물왕동 연요리전문점 '장금이'를 찾으면 그렇지 않음을 직접 확인 할 수 있다. 흔치 않은 색다른 한정식을 원한다면 한 번쯤은 꼭 한 번 들러 연밥정식과 연잎수육을 맛 봐야 할 곳이다. ",37.368215,126.827279
안성마춤갤러리,음식점,한식,경기도,안성시,경기도 안성의 농산물 브랜드 '안성마춤'을 내세워 만든 고품격 갤러리풍 식당으로 각종 공연과 작품전시회 감상과 동시에 농협에서 직접 운영하는 특등급 안성한우를 맞볼 수 있는 곳으로 유명한 집이다. 특히 안성마춤한우 중에 10%만 생산된다는 슈프림급 한우는 늦어도 하루 전에는 꼭 예약을 해야 그 맛을 볼 수 있다 하여 그 희소성에 더더욱 인기가 높다.,37.0331555,127.3075596
언덕너머매운탕,음식점,한식,경기도,연천군,민물고기 중에 살이 탱탱하고 쫄깃한 맛으로 매운탕 재료 중에 으뜸이라 불리우는 '쏘가리'를 메인메뉴로 자랑하는 이집의 '쏘가리매운탕'은 임진강에서 직접 잡아올린 자연 그대로의 그 담백하고 칼칼한 맛이 일품이라 할 수 있다. ,38.1003726,127.0169043
보영식당,음식점,한식,경기도,의정부시,"한국전쟁 직후 식량난에 허덕이던 시민들이 미군부대 생활용품 처리장을 뒤져 쓰고남은 고기등을 가져다 쇠통에 넣어 끓여 만든 꿀꿀이죽이 그 원조인 '부대찌개'. 그러나 이젠 소시지와 햄과 각종 사리가 가득 담긴 영양만점의 찌개로 세대교체되어 그 명성 역시 가히 전국구라 할 수 있게 되었는데, 그 중에 의정부의 부대찌개는 '의정부찌개'로 불리워질 만큼 그 맛을 인정 받았는데 이중 가장 대표적인 집중의 하나가 바로 '보영식당'이다. 직접 담근 보리고추장과 김치에서 우러나는 그 속 깊은 얼큰함을 꼭 한 번 맛보길 바란다. ",37.7442643,127.0475188
청정농원,음식점,한식,경기도,하남시,"검단산 등산객들에겐 꿀맛과도 같은 유명한 식당이다. 족구장, 노래방, 방갈로 시설들이 갖추어져 있어 놀이와 휴식이 가능한 곳으로 직접 운영하는 농장 구경도 하고 진흙구이의 별미도 먹고 야장에서의 모닥불 추억까지 주말 나들이족에겐 더 할 나위 없이 좋은 곳이다. 오리와 함께 돼지 왕갈비, 생삼겹살까지 모든 고기는 국내산 고기로 오리뼈를 24시간 동안 푹고아서 만든 녹두죽은 이집의 별미 중의 별미.",37.5402371,127.2316455
봉가우리밀손칼국수,음식점,한식,경기도,화성시,경기도 화성 궁평리와 제부도의 갯벌은 바지락으로 유명하다. 깨끗한 바닷물 그리고 썰물이 되면 4km 정도까지 펼쳐지는 넓은 갯벌 덕분에 바지락의 질이 좋고 그 맛이 유난히 쫄깃하기 때문인다. 이것이 바로 '봉가 우리밀 손 칼국수'가 자랑하는 맛의 비결이다. 단백질과 미네랄이 풍부한 자연 그대로의 바지락맛을 만날 수 있는 칼국수집. '밀'전문점으로도 유명하다.,37.2130938,126.7383777
싸리골,음식점,한식,강원도,정선군,강원도 고산지에서만 채취할 수 있는 자연 그대로의 무공해 '곤드레나물'로 밥을 짓는 입소문 유명한 밥집이다. 정성도 정성이지만 인스턴트음식과는 비교가 안되는 담백하고 신선한 땡기는 밥맛이야 말로 이 식당의 대박비결. 저렴한 가격에 웰빙을 찾는 손님이라면 꼭 한 번쯤 들려 먹어봐야할 우리네 밥상이다. ,37.3788735,128.6575429
연화식당,음식점,한식,충청남도,계룡시,이집 백숙의 가장 큰 특징은 바로 뽕잎 장아찌와 과일을 이용해 담근 백김치(특허등록예정)를 닭백숙과 조화 시켰다는 점이다. 상부로 솟구치는 기운을 내려 잡는 뽕잎 장아찌를 황기의 기운과 함께 어울린 뒤 상큼하게 입맛 돋우는 백김치 한 점 먹는다면 백숙에 대한 또 다른 시야를 얻게 될 것이다. ,36.2837121,127.2439092
바닷가횟집,음식점,한식,충청남도,서천군,"충남 서천 춘장대해수욕장에 위치해 있는 풍광 좋은 횟집이다. 이집은 가을 '전어구이'로 유명하기도 하지만, 매일 새벽 서해바다에서 잡아올린 신선도 100%의 자연산 횟감에 주인이 직접 농사 지은 쌀과 채소로 만든 친환경 밑반찬이 바로 그 인기 비결이다. 특히 반찬 중에 간장에 숙성시킨 바우지(서해안 게) 맛은 이집에서만 맛 볼 수 있는 별미다.",36.166447,126.5233903
충남집,음식점,한식,충청남도,천안시,"병천순대의 역사는 1950년대까지 거슬러 올라갈 만큼 전통이 깊다. 병천순대는 당시 마을 인근에 대형 육가공공장이 들어서면서 마을 사람들이 돼지머리와 등뼈·염통 등의 부산물을 공짜로 얻어 와 순대와 국밥으로 만들어 먹던 것이 발단이 됐는데 이를 상품화해 '병천순대'를 알리게 된 원조집이 두 곳이 있는데, 그 중 한 곳이 바로 이 집 '충남집'이다. 얼리지 않은 신선한 돼지 소장을 전통 그대로의 방식으로 6시간 푹 고아 우려낸 돼지갈비 국물과 함께 요리해 담아낸 그 깔끔한 맛은 여전히 유명하다.",36.7619069,127.2964063
원풍식당,음식점,한식,충청남도,태안군,"박속밀국낙지탕은 꽃게장, 게꾹지, 우럭젓국찌개 등과 함께 태안의 향토음식 중 하나로서 박과 야채를 넣어 끓인 국물에 낙지를 넣어 살짝 익혀 먹은 후 그 육수에 수제비나 칼국수를 넣어 함께 먹는 음식으로 시원하고 맑은 국물과 쫄깃한 낙지의 조화가 일품이다. ",36.8244461,126.2561489
갯마을회센타,음식점,한식,충청남도,홍성군,궁리포구 입구에 위치한 이집은 싱싱한 활어를 직송해 내오는 모듬회 인기 만큼이나 입맛 돋구는 밑반찬과 깔끔한 뒷맛이 일품인 전어회 또한 유명해 손님 중 99%가 단골이라 할 만큼 그 유명세가 대단한 곳이다. 더욱이 이집을 찾아가면서 즐길 수 있는 홍성방조제부터 궁리포구까지의 해안 드라이브 코스는 바닷가를 옆구리에 끼고 달리는 것 같은 착각을 일으킬 만큼 그 경관이 뛰어나 찾아오는 이의 발걸음을 즐겁게 해 준다.,36.5904501,126.4554135
명품한우 해성,음식점,한식,충청북도,증평군,"자연의 약속'은 괴산증평 한우 브랜드로 국립농산물품질관리원으로부터 국내 최초로 무항생제 축산물 인증을 받았다는 점에서 일단은 믿음이 가고, 두번째로는 증평축협의 직영매장이라 가격면에서 거품이 없다는 것이 가장 큰 특징이다. 거기다 '명품한우'에 걸 맞는 인테리어와 서비스는 여느 직영매장과는 확연히 차별이 되는 명품 직영매장이라 할 수 있겠다.",36.7784278,127.5647225
구룡식당,음식점,한식,충청북도,청주시,"잉어과의 민물고기인 참마자는 뼈가 부드럽고 피라미보다 맛이 좋아 도리뱅뱅이로는 귀한 재료다. 그러다보니 참마자로 하는 도리뱅뱅이집 또한 귀하기 마련인데, 그 몇 집 안되는 식당 중의 하나가 바로 '구룡식당'이다. 특히 이 집은 2006년 충북음식경연대회에서 대상을 수상한 향토음식점으로 매콤하면서도 달짝지근한 양념을 얹은 참마자 튀김에 채 썬 인삼과 부추를 곁들여 먹는 그 맛이 기가 막히게 맛있다. 붕어 어죽 역시도 꼭 맛 볼만 하다.",36.660522,127.43617
장영선 원조 지례삼거리 불고기,음식점,한식,경상북도,김천시,"김천시 지례면은 오래전부터 이름난 토종 흑돼지(꺼먹돼지)의 집산지다. 흑돼지는 쫄깃한 육질과 담백한 맛이 특별해 전국적으로 그 인기가 높아 면사무소가 있는 교리에만 흑돼지 전문식당이 12곳이나 되는데 그 중에 대표 업소가 바로 이곳, 3대를 이어가는 '장영선 원조 지례삼거리 불고기' 식당이다. 아삭아삭 씹히는 담백한 '왕소금구이'를 먹은 후에 맛보는 매콤한 '양념불고기'. 직접 담근 장맛과 함께 입 안에 퍼지는 은근한 연탄불 내음과 혀끝에 느껴지는 고기, 비계, 껍데기 부분의 육질은 제대로 흑돼지의 고기 맛이라 할 수 있겠다. 그리고, 마지막으로 맛보는 된장찌개와 시레기국 역시도 빼놓을 수 없는 이집의 자랑거리다.",35.9877726,128.0273624
강나루,음식점,한식,전라북도,무주군,"겨울에는 덕유산으로 유명하고, 여름에는 반딧불이 축제로 유명한 무주에는 또 유명한 것이 하나 있다. 바로 '어죽'이다. 금강의 청정지역에서 갓 잡은 생선으로 죽을 쑨 무주 어죽은, 충청도의 ""금산 어죽""이나 충남 예산의 ""예당호 어죽""과 어깨를 나란히 한다. 어린 시절 천렵 놀이를 한 후, 쨍한 여름 햇볕아래서 끓여 먹었던 그 어죽. 그리고 강변에 사는 어부나 농부가 여름의 보양식으로 끓여 먹었던 그 어죽맛을 무주에서 느낄 수 있는 것이다. ",36.0162992,127.6424674
흙가든허브오리,음식점,한식,전라북도,익산시,"허브와 함께 오리를 구워냄으로써 오리특유의 잡내를 없애면서도 동시에 허브의 산뜻하면서도 강한 맛을 오리에 접목시킨 오리요리 전문점이다. 오리와 향기로운 허브와 인삼, 대추 등 20여가지의 보약재를 황토가마에 넣은 뒤 3시간 동안 구워만든 흙가든 허브오리는 오리기름이 빠지고 난 뒤에 맛보는 담백함과 고소함을 느낄 수 있다.",35.9230709,126.9099393
고궁(본점),음식점,한식,전라북도,전주시,"골동반'이란 여러 가지 귀한 것들이 갖추어져 있다는 뜻으로 옛날 임금님 수라에 오른 비빔밥을 골동반이라 하였는데, 고궁의 골동반은 이러한 궁중의 비빔밥을 현대 감각에 맞도록 맛을 살려 재현한 것으로 그 상차림을 보면 해물신선로, 모주, 전주식육회, 모듬전, 갈비떡찜, 삼합, 북어구이, 황포묵무침, 수삼샐러드, 잡채 등 실로 대단하다 할 수 있다. 해마다 관광안내지도에 빠지지 않고 지명되는 업소인 만큼 전주에 방문 한다면 꼭 한 번 들러봐야할 명소 중에 명소다.",35.8500668,127.1172282
강태분 할머니묵집,음식점,한식,대전,유성구,"50년 전통의 묵집이다. 도토리 특유의 야들, 쫄깃한 씹는 맛과 쌉쌀한 국물이 어우러져 단촐하고 투박한 시골의 옛맛을 느낄 수 있는 곳이다. '강태분'할머니로 시작해 3대째 가업을 이어가고 있는 이집은 대전 유성을 찾는 사람이라면 꼭 한 번 들러 맛을 보는 대전의 대표 맛집으로 1993년 대전엑스포 때 전국적으로 퍼지게 된 '묵말이'의 원조집이라 할 수 있겠다. 양푼에 채썬 야채를 듬뿍 담아 고추장으로 비벼낸 이집의 보리밥 또한 일품이다.",36.446198,127.3816218
옛날밥상,음식점,한식,강원도,양양군,밥맛으로 치면 돌솥밥 보다 한 수 위가 무쇠솥밥이라고 한다. 무쇠솥은 불에 가까울수록 그 두께가 두껍고 불과 멀어질수록 두께가 얇아 수분함량비율이 높으면서도 층별 밥알의 형태도 일정하게 유지시켜준다 하여 밥맛이 좋기로 유명한데 거기다 보약이 따로 없는 영양만점의 송이를 곁들여 밥을 짓는다. 그것이 바로 이집의 자랑 '송이무쇠솥밥정식'이다.,38.073448,128.6187724
솔매기식당,음식점,한식,경상북도,경산시,"팔공산 주변에서 '호박전으로 유명한 곳!' 하면 바로 이곳이다. 노릇노릇하게 구워져 나온 따근한 호박전 한 입 꿀꺽 한 뒤 맛보는 촌두부와 미나리무침의 향연. 먹어본 사람은 안다. ""직접 기르고 직접 수확해 만든 음식의 맛이 바로 이런 것이구나.."" 하는 생각 말이다. 공기좋고 물 좋은 곳에서 제대로된 우리네 향토음식을 맛 보고 싶다면, 바로 이곳이다.",35.9749822,128.768737
대원식당,음식점,한식,경상북도,고령군,"인삼도토리수제비'가 유명한 곳이다. 인삼, 도토리수제비, 팽이버섯, 잣, 대추, 닭고기와 육수, 은행, 파가 들어가 알싸하면서도 시원한 맛이 건강까지 챙겨준다 하니 그 입소문이 대단하다. 그리고, 또 하나 유명한 것이 '인삼콩나물해장국'이다. 한우등뼈를 푹 고아 만든 육수에 곱게 익은 쇠고기와 인삼, 은행, 대추, 마늘. 그리고 아삭한 콩나물이 어우러져 따끈하게 속을 달래주니 해장국으로서도 제격이다. 내용물로 봐선 보양탕이라해도 될만하다.",35.6866986,128.2414399
버드나무백숙,음식점,한식,경상북도,구미시,"영남 8경 중에 하나로 손꼽히는 금오산. 그 밑자락에는 꽤 여럿의 닭백숙집이 모여 있다. 그리고, 그 중에 2대에 걸쳐 닭과 오리만을 고집하며 장인정신을 이어가고 있는 유명한 곳이 바로 이집이다. 직접 농사 지은 식자재며 직접 담근 장. 거기다 청국, 당귀, 작약 등 30여 가지의 금오산 약재들과 금오산 정기 받은 토종닭이 만나 이집의 보양식이 된다.",36.111263,128.316215